,Companion Map: bit.ly/sfstairmap,,,Contact: info@urbanhikersf.com,,,
,Lands End,5,Mile Rock Stairway/Coastal Trail & Mile Rock Beach.,,https://photos.app.goo.gl/cijqjQKc9hG1qbR99,,
,Lands End,5,Stairs down to Point Lobos.,,https://photos.app.goo.gl/s2S2b2v4G4ubyULTA,,
,Lands End,5,Sutro Baths Stairway/Merrie Way parking lot & Sutro Baths.,,https://photos.app.goo.gl/RdbxnKnZZrp4P9b39,,
,Lands End,4,Lands End Trail between Mile Rock Beach and Eagle's  Point.,,https://photos.app.goo.gl/UQAm34BbSELp29v38,,
,Lands End,4,USS San Francisco Naval Memorial Stairway/48th Ave. & El Camino del Mar to the Coastal Trail.,,https://photos.app.goo.gl/t6TMhmJSE5h7acUg9,,
,Lands End,3,El Camino del Mar at end to VA Medical Center.,,https://photos.app.goo.gl/AFkCebUg7NKo3Ezj9,,
,Lands End,3,El Camino del Mar down to Lands End Main Parking Lot.,,https://photos.app.goo.gl/Q46PK1x5YbF8UQvS8,,
,Lands End,3,"El Camino del Mar to Lands End Trail, near USS San Francisco Parking Lot.",,https://photos.app.goo.gl/hrEihMZ7HwYTq1228,,
,Lands End,3,El Camino del Mar to Lands End Trail/ USS San Francisco parking lot & Seal Rock Dr.,,https://photos.app.goo.gl/mqWvq5Um7FnDLB2J7,,
,Lands End,3,El Camino del Mar Trail near Palace of Legion of Honor trailhead.,,https://photos.app.goo.gl/h2Vmdu4fP7YPcUuVA,,
,Lands End,3,Fort Miley. Multiple stairways on Battery Chester.,,https://photos.app.goo.gl/AE7vSuE181PfekUn8,,
,Lands End,3,Fort Miley. Wood stairway near north end of Battery Chester.,,https://photos.app.goo.gl/VAZcyS3L1MQ46Vkn8,,
,Lands End,3,"Lands End Trail to El Camino del Mar Trail, just below the VA Medical Center.",,https://photos.app.goo.gl/QsRFcn62RkX53TTs6,,
,Lands End,3,Legion of Honor. East side of museum down to El Camino del Mar parking area.,,https://photos.app.goo.gl/NUxUjApg8Q8fCKyL8,,
,Lands End,3,Legion of Honor. El Camino del Mar parking area to side of museum.,,https://photos.app.goo.gl/b24bN4Q5AxHm4QmN8,,
,Lands End,2,Eagle's Point at El Camino del Mar.,,https://photos.app.goo.gl/jUeiMND1Yj2ZCw3LA,,
,Lands End,2,Fort Miley. Veterans Dr. down to Battery Chester.,,https://photos.app.goo.gl/8QTYqBvgUTx9NPM77,,
,Lands End,2,Lands End Trailhead from Merrie Way Parking Lot.,,https://photos.app.goo.gl/nbS59Zpxe99LKgzr5,,
,Lands End,2,Legion of Honor. Stairs down to Holocaust Memorial.,,https://photos.app.goo.gl/9d8dJoMSsPSTVj8T9,,
,Lands End,2,Point Lobos Ave to behind Lands End Lookout Visitor Center,6,https://photos.app.goo.gl/cwxmrBW3rjF6nN69A,,
,Lands End,2,USS San Francisco Memorial,,https://photos.app.goo.gl/gck98tzx5pRNoGYc9,,
,Lands End,1,Fort Miley. Few stairs off main walkway.,,https://photos.app.goo.gl/ez2w6GmgZ28tjm4JA,,
,Lands End,1,Sutro Baths along main basin.,,https://photos.app.goo.gl/yjCjZTrNNqoV4WFZA,,
,Lands End,1,"Sutro Baths, south side. Stairway in ruins.",,https://photos.app.goo.gl/nELr6PKJSeX33ZqZ9,,
,Laurel Heights,3,"Blake/Geary & Euclid, into Laurel Hill Playground.",,https://photos.app.goo.gl/dbzioXmDcyzyoEQx7,,
,Laurel Heights,2,Cook/Geary & Euclid. In Laurel Heights. View of Lone Mtn.,,https://photos.app.goo.gl/RavP7ChaxmZDbkRd8,,
,Laurel Heights,2,Dicha Alley/Lupine & Wood. Useful and used.,,https://photos.app.goo.gl/rYqyTx3my2MQG3XG8,,
,Laurel Heights,2,Locust/Mayfair & California. Into shopping center parking lot.,,https://photos.app.goo.gl/B1ViRCKkLDzCrzGq7,,
,Lone Mountain,1,Loyola Terrace. Few two-step stairways on west side of street.,,https://photos.app.goo.gl/mLnatDNuNweM572w8,,
,Marina,3,"Wave Organ at end of jetty by Golden Gate Yacht Club, around structure and down to water.",,https://photos.app.goo.gl/jBj28t7NWRqXapAH9,,
,Marina,2,"Bay St./Webster & Buchanan, into George Moscone Recreation Center. (Another stairway at the back of the building too.)",,https://photos.app.goo.gl/Ha4ngPu1rECujFGCA,,
,Marina,2,"Crissy Field entrance to St. Francis Yacht Club at Lyon, to benches and to water.",,"To benches: https://photos.app.goo.gl/FxCTakdXt5nN7FsE7
To water: https://photos.app.goo.gl/EPNNBuQq6kgXNSSs9",,
,Marina,2,Marina Yacht Harbor above Marina Boulevard.,,https://photos.app.goo.gl/pLWgArm64xhcgDkf8,,
,Marina,2,"Palace of Fine Arts. Intersection of Palace Dr., Lyon St., and Bay St.",,https://photos.app.goo.gl/TmUKkR79pJpjDjWd8,,
,Marina,1,Bay between Buchanan and Webster.,,https://photos.app.goo.gl/znc4qT9cSeSDxHiB7,,
,Merced Manor,3,Merced Manor Reservoir. 22nd Ave./Sloat Blvd. & Ocean Ave.,,https://photos.app.goo.gl/LiJqLhpQEuGpnZdE9,,
,Merced Manor,3,Merced Manor Reservoir. 23rd Ave./Sloat Blvd. & Ocean Ave.,,https://photos.app.goo.gl/AL8tX3mi27hDb3P59,,
,Merced Manor,2,Junipero Serra Blvd. across from number 150/Woodacre Dr. & Ocean Ave.,,https://photos.app.goo.gl/SGqPCN4mK9e1Hty56,,
,Merced Manor,2,Merced Manor Reservoir. From grass lawn south of Sloat up to top of reservoir.,,https://photos.app.goo.gl/Coho8RRVojb238Aw9,,
,Merced Manor,2,Merced Manor Reservoir. Sloat Blvd./22nd & 23rd St.,,https://photos.app.goo.gl/JEr45GuPhkpQ99Ta6,,
,Mission,3,"Franklin Square. 17th St./Bryant & Potrero, into square.",,https://photos.app.goo.gl/1VbAk8Hfctj2vpuJ6,,
,Mission,3,"Franklin Square. Bryant at 16th St., into square.",,https://photos.app.goo.gl/qeabQyYmsCsNmtpP9,,
,Mission,3,"Franklin Square. Bryant at 17th St., into square.",,https://photos.app.goo.gl/ZBfNL56iBwP58K3i6,,
,Mission,2,25th St./Fair Oaks & Dolores. Sidewalk stairway.,,https://photos.app.goo.gl/TcbD9DqEJGzp2ZaSA,,
,Mission,2,"Dolores Park. SE corner of 18th & Church Streets, up to J Church platform.",,https://photos.app.goo.gl/65HDrhiQ2y5Pyn2g6,,
,Mission,2,Florida Street up to 15th Street.,,https://photos.app.goo.gl/b4mZ1xmaw6VhBkGR9,,
,Mission,2,"Franklin Square, near playground on 17th St. side.",,https://photos.app.goo.gl/XMDeTpRXrpxW4iLS6,,
,Mission,2,In Chan Kaajal Park,,https://photos.app.goo.gl/kVfd6qhGd6iJSQKV7,,
,Mission,2,McCoppin Hub. Valencia at McCoppin St.,,https://photos.app.goo.gl/hBpJPVokqRLaqvTE9,,
,Mission,2,Parque Niños Unidos,,https://photos.app.goo.gl/5B5t7ktKtNVhWHbu6,,
,Mission,2,Walkway between Bryant and Florida between 18th and 19th Streets.,,https://photos.app.goo.gl/eaZtJfCDLcKrvcEPA,,
,Mission,1,17th and Florida at SW corner.,,https://photos.app.goo.gl/d2EhnUCsGQCBUvGA6,,
,Mission,1,Dolores Park. Near sports courts and bathrooms.,,https://photos.app.goo.gl/PSu3YkQx8nFDbZUM6,,
,Mission,1,"Garfield Square. Harrison at 26th St., into square.",,https://photos.app.goo.gl/5HDMAk8kCbPNjm1d8,,
,Mission,1,Garfield Square. Harrison/25th & 26th St. Two stairways on either side of Garfield Pool building.,,https://photos.app.goo.gl/mC8nJWUh7ASpiNZEA,,
,Mission,1,"Garfield Square. Treat at 26th St., into square.",,https://photos.app.goo.gl/rcbMLdjvhvuqR7HLA,,
,Mission,1,Garfield Square. Treat/25th & 26th St. Middle of block near children's play area. ,,https://photos.app.goo.gl/CdHrrX33KTxcDQj19,,
,Mission,1,"Mission Playground & Pool, up to basketball courts. Two steps.",,https://photos.app.goo.gl/mUr59zznd9MQAa6H6,,
,Mission,1,Mission Pool building entrance at 19th and Linda.,,https://photos.app.goo.gl/DND6fByz8Kvwr9Ft5,,
,Mission,1,"Potrero Ave., just north of Cesar Chavez.",,https://photos.app.goo.gl/uAw2sGFRE6uWN83v8,,
,Mission Bay,2,409-499 Illinois St./16th St. & Terry A. François Blvd.,,https://photos.app.goo.gl/n2NGbB1PnWkZQ1zS8,,
,Mission Bay,2,Mission Bay Commons. 3rd Street/Mission Bay Boulevard North & South,,https://photos.app.goo.gl/5VGhiATRJ63SFSdP7,,
,Mission Bay,2,Mission Bay Commons. Mission Bay Boulevard North/Bridgeview Way & Terry A. Francois Blvd.,,https://photos.app.goo.gl/AVPZbouMVgenbQxb6,,
,Mission Bay,2,Thrive City. 3rd Avenue/16th Street and Campus Way.,,https://photos.app.goo.gl/n2NGbB1PnWkZQ1zS8,,
,Mission Bay,2,Warriors Way/3rd Street & Terry A. François Boulevard. Across from Bridgeview Way.,,https://photos.app.goo.gl/1P9bEPjLH6t71LoD9,,
,Mission Bay,1,Mission Bay Commons. Mission Bay Boulevard South/Bridgeview Way & Terry A. Francois Blvd.,,https://photos.app.goo.gl/Lfusv23UJxUke12a7,,
,Mt. Davidson,5,Bengal Alley/Lansdale & Miraloma.,,https://photos.app.goo.gl/5zxw1YjpiXMBVtbJ8,,
,Mt. Davidson,5,Dragon's Tail Stairway. Bella Vista Way/Avoca Alley & Sequoa Way. Into Miraloma sports fields. Mosaic!,,https://photos.app.goo.gl/GS7qJZ7ezMbVt2d4A,,
,Mt. Davidson,4,Los Palmos Garden. Between Los Palmos Drive and Verna Street.,,https://photos.app.goo.gl/B4DBaDYjPP8sHWSk6,,
,Mt. Davidson,4,Mt. Davidson Summit. East Ridge Trail near summit.,,https://photos.app.goo.gl/Furn7F13zZbsV9ia6,,
,Mt. Davidson,4,"Mt. Davidson. Intersection of Juanita, Native Garden, and St. Croix Trails.",,https://photos.app.goo.gl/JtP5WbSbpMqg2oRj8,,
,Mt. Davidson,4,"Mt. Davidson. Juanita Way at No. 275 Juanita, near Marne.",,https://photos.app.goo.gl/BZ173Mq12kNQ6t3t7,,
,Mt. Davidson,3,Burlwood & Los Palmos.,,https://photos.app.goo.gl/XNNaTzooZSLEDiX28,,
,Mt. Davidson,3,Casitas at Cresta Vista.,,https://photos.app.goo.gl/FrGv1NZyzWh8Dynd9,,
,Mt. Davidson,3,Malta/Upper Malta No.11 and Lower Malta No. 50.,,https://photos.app.goo.gl/hfyDQCvskK7tim3K9,,
,Mt. Davidson,3,Mangels/Brentwood & Melrose.,,https://photos.app.goo.gl/CdFaC7JfdH1QaXzSA,,
,Mt. Davidson,3,Mt. Davidson. At foot of cross.,,https://photos.app.goo.gl/iht9mRW7YdvitcQE8,,
,Mt. Davidson,3,Mt. Davidson. East Ridge Trail behind cross.,,https://photos.app.goo.gl/BYustvhJHPZGb32eA,,
,Mt. Davidson,3,"Mt. Davidson. Rockdale Drive, next to Nos. 919 and 925.",,https://photos.app.goo.gl/ZBf87SzXv8V2FGmX8,,
,Mt. Davidson,3,Mt. Davidson. St. Croix Fire Road near summit.,,https://photos.app.goo.gl/v9NSZPr9YRSqKrrs6,,
,Mt. Davidson,3,Yerba Buena to Upper Yerba Buena at Ravenwood.,,https://photos.app.goo.gl/X33NxBkVYR7weTmGA,,
,Mt. Davidson,3,"Yerba Buena, near Maywood, to Miraloma.",,https://photos.app.goo.gl/HyT2EvLSuV3h4atV8,,
,Mt. Davidson,2,"Avoca Alley/No. 219 Bella Vista Way at 550 Myra, opposite Dorcas Way.",,https://photos.app.goo.gl/KGHCwoM8PFgCxJzYA,,
,Mt. Davidson,2,Chaves & Del Sur.,,https://photos.app.goo.gl/zkMk5SuQVf77xGNT8,,
,Mt. Davidson,2,"Globe Alley at No. 96 Cresta Vista to Hazelwood, near Los Palmos.",,https://photos.app.goo.gl/X6EBTdVWa5qSox9fA,,
,Mt. Davidson,2,Hazelwood & Los Palmos.,,https://photos.app.goo.gl/j5v5phPRTQwtfbDU8,,
,Mt. Davidson,2,Lulu Alley/Los Palmos & No. 450 to No. 500 Melrose. (Street continues across Los Palmos as a dirt road!),,https://photos.app.goo.gl/VMgLn6AxFbvqASLk6,,
,Mt. Davidson,2,"Marietta and Lower Marietta Dr., multiple stairways between Arroyo Way and Teresita Boulevard.",,https://photos.app.goo.gl/H5y5darueiCL2PjBA,,
,Mt. Davidson,2,Melrose at Mangels & Ridgewood.,,https://photos.app.goo.gl/aQjECmKstnm5oy9r9,,
,Mt. Davidson,2,Miraloma at No. 2 to Portola. Painted!,,https://photos.app.goo.gl/CTQokBG6Sip2CMnL6,,
,Mt. Davidson,2,"Molimo Dr., almost at end, at trailhead for Mt. Davidson.",,https://photos.app.goo.gl/qsPDtYyoADoYfoUu5,,
,Mt. Davidson,2,Mt. Davidson. Near start of St. Croix Trail.,,https://photos.app.goo.gl/4unBEsn8LCxQVLiX8,,
,Mt. Davidson,2,Mt. Davidson. Park entrance on Dalewood at Lansdale Ave.,,https://photos.app.goo.gl/S8fcnyS2r2piy6tw5,,
,Mt. Davidson,2,Mt. Davidson. Sherwood Trail,,https://photos.app.goo.gl/1tatGoyUssiGTC2s5,,
,Mt. Davidson,2,Vista Verde Court at Stillings. At end of cul-de-sac.,,https://photos.app.goo.gl/jWGkRH2xM1tbfEcF7,,
,Nob Hill,4,Grace Cathedral at California & Taylor.,,https://photos.app.goo.gl/pBAKqX85PzKZhKH67,,
,Nob Hill,4,Joice Alley at Pine to Sacramento/Powell & Stockton.,,https://photos.app.goo.gl/CCeoK2gG1czFExZ4A,,
,Nob Hill,3,"Huntington Park. California at Taylor & Cushman Alley, into park.",,https://photos.app.goo.gl/QE91HVjT455jTNG27,,
,Nob Hill,3,"Huntington Park. Sacramento at Taylor & Cushman Alley, into park.",,https://photos.app.goo.gl/CbWoS2FJmH9rQLmg9,,
,Nob Hill,3,"Huntington Park. Taylor/California & Sacramento, into park.",10,https://photos.app.goo.gl/SYTgGJeD1GKc2t9n9,,
,Nob Hill,3,Sacramento/Jones & Taylor. Up to Grace Cathedral.,,https://photos.app.goo.gl/XfTr5dfV1X3196iC8,,
,Nob Hill,3,Taylor/Pine & California.,,https://photos.app.goo.gl/EFN977SBKWtWge299,,
,Nob Hill,2,"Clay to Washington, opposite No. 1171 Clay.",,https://photos.app.goo.gl/BdfbX21KFJvxv1KCA,,
,Nob Hill,2,Mason at California.,,https://photos.app.goo.gl/CuPjMTCwUowFzneS6,,
,Nob Hill,2,"Phoenix, opposite No. 1154 Pacific/Taylor & Jones.",,https://photos.app.goo.gl/k3BbTy1usSaB3GDf9,,
,Nob Hill,2,"Priest, opposite No. 1350 Washington.",,https://photos.app.goo.gl/JSEJ3mm1M9h5V6Du6,,
,Nob Hill,2,"Reed, opposite No.1370 Washington.",,https://photos.app.goo.gl/q3dniNVwzy28DDck6,,
,Noe Valley,4,Castro/28th St. & Duncan.,,https://photos.app.goo.gl/b6CTv59zkJRTkdo28,,
,Noe Valley,4,"Cuesta Court to Grand View at No. 601, near 24th St.",,https://photos.app.goo.gl/DQJ31aRN2eTXMjEV6,,
,Noe Valley,4,Elizabeth/Hoffman & Grand View.,,https://photos.app.goo.gl/zMDbdHmRuuHWwMGd9,,
,Noe Valley,3,27th St. at Castro & Newburg.,,https://photos.app.goo.gl/dpcJyNQaxe9yP5HN7,,
,Noe Valley,3,"27th St./Castro & Noe, from cul-de-sac at end of 27th St. to Noe.",,https://photos.app.goo.gl/7Eu54d35LaoBfTen9,,
,Noe Valley,3,"27th Street, next to #581 and up to Castro-Duncan Open Space",,https://photos.app.goo.gl/z7NwC5Evauc3oh779,,
,Noe Valley,3,Castro/Day & No. 500 30th St.,,https://photos.app.goo.gl/NAy3Dmj8dR6tkvWq7,,
,Noe Valley,3,Cesar Chavez/Castro at No. 4220 & Diamond.,,https://photos.app.goo.gl/LUUzETFJVtvYxFS1A,,
,Noe Valley,3,"Day at No. 493, up to No. 2350 Castro.",,https://photos.app.goo.gl/DHSFd5sbPXBHDTrX6,,
,Noe Valley,3,Valley/Diamond & Castro. One stairway leading up to Diamond and the other leading down to Castro.,,https://photos.app.goo.gl/qzxRARfLSuXCu3Nf7,,
,Noe Valley,2,Duncan St. at Noe.,,https://photos.app.goo.gl/At6UAozyg7JCMeQs5,,
,Noe Valley,2,Upper Noe Valley Recreation Center,,https://photos.app.goo.gl/g3e8KCCkwRzhNN696,,
,Noe Valley,2,Valley/Castro to Noe. (Few small stairways.),,https://photos.app.goo.gl/Ne1MpmGfgC4GLMpa7,,
,Noe Valley,2,Zircon Place. Off 29th Street/Diamond & Castro.,,https://photos.app.goo.gl/cGoAneroDSDZStzR8,,
,Noe Valley,1,29th/Castro & Zircon. Few steps in sidewalk in front of #618,,https://photos.app.goo.gl/suaLhY6xkYx9t2ru8,,
,Noe Valley,1,Noe at 1319/26th & Cesar Chavez. Few steps in sidewalk.,,https://photos.app.goo.gl/WPMYp5aRXnY2aB5x8,,
,North Beach,4,Kearny/Vallejo & Broadway. Peter Macchiarini Steps. Sidewalk stairways on both sides of street.,,https://photos.app.goo.gl/9cjxHfsvquxuAV8R6,,
,North Beach,3,Mason/Columbus & Lombard. Between North Beach Library & Pool.,,https://photos.app.goo.gl/JHHduptoBHeXdRQt9,,
,North Beach,3,Tuscany at Lombard/Stockton & Powell. Nice view of St. Peter & Paul Church Spire.,,https://photos.app.goo.gl/yf6mhrWYbr78f87x9,,
,North Beach,2,Levi's Plaza. Filbert/Battery & The Embarcadero. Stairway closer to Battery,,https://photos.app.goo.gl/1UYnpzqgEukDXyH3A,,
,North Beach,2,Levi's Plaza. Filbert/Battery & The Embarcadero. Stairway closer to the Embarcadero.,,https://photos.app.goo.gl/YZMVZ5yAMXBepRjY7,,
,North Beach,2,Levi's Plaza. Filbert/Sansome & Battery.,,https://photos.app.goo.gl/XDdDCt3EG1HU6Rgq8,,
,North Beach,2,Levi's Plaza. Union/Battery & The Embarcadero. Few small stairways.,,https://photos.app.goo.gl/cBZ95KSbfmNHHRUk8,,
,North Beach,2,"Romolo/Vallejo & Fresno, west of Kearny. Sidewalk stairways on both side of the street.",,https://photos.app.goo.gl/RMCw5A6RcmynNsNx8,,
,North Beach,2,Wayne at end of street/Mason & Powell.,,https://photos.app.goo.gl/Q6GQXgiv2bSvctNw6,,
,North Beach,1,Levi's Plaza from the Embarcadero.,,https://photos.app.goo.gl/vYQgeHpNrnNtEWjPA,,
,North Beach,1,Levi's Plaza from the Embarcadero.,,https://photos.app.goo.gl/vYQgeHpNrnNtEWjPA,,
,Oceanview,3,Minnie & Lovie Ward Recreational Center. Stairs (and slide!) near recreation building.,,https://photos.app.goo.gl/Kmr799WCjz5pUKQY6,,
,Oceanview,2,Brooks Park. Shields & Arch Sts.,,https://photos.app.goo.gl/sLDS8EZ1TxT5driF6,,
,Oceanview,2,Brooks Park. Vernon St./Shields & Sargent Sts.,,https://photos.app.goo.gl/NbhRFxxpVtzHLpZ3A,,
,Oceanview,2,Merced Heights Park near playground and tennis courts.,,,,
,Oceanview,2,Minnie & Lovie Ward Recreational Center. Corner of Lobos St. & Capitol Ave.,,https://photos.app.goo.gl/7rULquraLuLeJeqY9,,
,Oceanview,2,Minnie & Lovie Ward Recreational Center. Corner of Lobos St. & Plymouth Ave.,,https://photos.app.goo.gl/ABr5Vs7YSVbgZBjD6,,
,Oceanview,2,Oceanview Playground at Lobos St. & Capitol Ave.,,https://photos.app.goo.gl/7rULquraLuLeJeqY9,,
,Oceanview,2,Oceanview Playground at of Lobos St. & Plymouth Ave.,,https://photos.app.goo.gl/ABr5Vs7YSVbgZBjD6,,
,Oceanview,2,Randolph and Bright Mini Park.,,,,
,Pacific Heights,5,"Alta Plaza, Pierce at Clay, into park.",,https://photos.app.goo.gl/W3s1es6poA3HeSsU7,,
,Pacific Heights,5,"Alta Plaza. Scott/Clay & Washington, into park.",,https://photos.app.goo.gl/iF8rmg81ov38GoEU8,,
,Pacific Heights,5,"Alta Plaza. Steiner at Washington, into park.",,https://photos.app.goo.gl/EWXczszjE5iQkBX6A,,
,Pacific Heights,5,"Alta Plaza. Steiner/Clay & Washington, into park.",,https://photos.app.goo.gl/o2gHowv71o7eAJsu7,,
,Pacific Heights,5,Baker/Vallejo & Broadway.,,https://photos.app.goo.gl/sWjx9kYzisod2zp48,,
,Pacific Heights,5,Fillmore/Broadway & Green.,,https://photos.app.goo.gl/doQ8w6Pak23YPXqM7,,
,Pacific Heights,5,Lyon/Green & Vallejo & Broadway. The Lyon Street Steps.,,https://photos.app.goo.gl/6vSAgwb7nxeoBjR89 and https://photos.app.goo.gl/6pvQewQPtuUfZgEc8,,
,Pacific Heights,4,Broderick/Broadway & Vallejo.,,https://photos.app.goo.gl/ohCADoXX8JK3yv8p7,,
,Pacific Heights,4,Green/Scott & Pierce. Sidewalk stairway on south side of street.,,https://photos.app.goo.gl/Jvmwcc8v13Y3dUQcA,,
,Pacific Heights,4,Normandie Terrace at Vallejo.,,https://photos.app.goo.gl/ekmRerGq2fEUmuXv6,,
,Pacific Heights,3,"Alta Plaza. Pierce at Jackson, into park.",,https://photos.app.goo.gl/hLM9NZVYzoXPweJi9,,
,Pacific Heights,3,Alta Plaza. Stairways in interior of park.,,https://photos.app.goo.gl/dDgFEoMCB2UEgcQ49,,
,Pacific Heights,3,Baker/Green & Vallejo. Sidewalk stairway on both sides of the street,,https://photos.app.goo.gl/7A6VKkrcBoJM4jGEA,,
,Pacific Heights,3,"Lafayette Park. Gough at Clay, into park, connecting on path to tennis courts.",,https://photos.app.goo.gl/t6FBkyytDk6a4j9V7,,
,Pacific Heights,3,"Lafayette Park. Gough at Sacramento, into park. ",,https://photos.app.goo.gl/Pr39oZRX5i6uCWx99,,
,Pacific Heights,3,"Lafayette Park. Gough at Washington, into park.",,https://photos.app.goo.gl/pC2XT4a3WAfQfTZK6,,
,Pacific Heights,3,"Lafayette Park. Laguna at Washington, into park.",,https://photos.app.goo.gl/hRxnxNDcimRYHhASA,,
,Pacific Heights,3,Octavia/Washington & Jackson. Elegant stairway in middle of brick street.,,https://photos.app.goo.gl/1wPSoXHxLAkS5fUw6,,
,Pacific Heights,3,Vallejo/Scott & Pierce. Sidewalk stairway on north side of street.,,https://photos.app.goo.gl/ZWtqmZsjvtV5sscx6,,
,Pacific Heights,3,Webster/Broadway & Vallejo. Sidewalk stairway on east side of street.,,https://photos.app.goo.gl/Fq8R3wMH4DdwFRDH9,,
,Pacific Heights,2,Clay and Buchanan through the medical center.,,https://photos.app.goo.gl/TtUjK3L1VxSnA3NS7,,
,Pacific Heights,2,Lafayette Park. Interior of park. Small stairway in the trees.,,https://photos.app.goo.gl/mUQngzgnC66HSNaU9,,
,Pacific Heights,2,Lafayette Park. Interior of park. Two stairways with bay views.,,https://photos.app.goo.gl/V9WFyqyNwqMz3fZz7,,
,Pacific Heights,2,Presidio Branch Library. Clay/Baker & Lyon.,,https://photos.app.goo.gl/jfc3YGUBdzYoTzhbA,,
,Pacific Heights,1,Alynne Park at Green & Gough. (Stairway is between the hedges.),,https://photos.app.goo.gl/NbW4ktREgf9Xqk8C9,,
,Pacific Heights,1,Goldberg/Clay & Sacramento,,https://photos.app.goo.gl/qpKadVBrX57nR4Cc9,,
,Pacific Heights,1,"Lafayette Park. Laguna at Sacramento, into park.",,https://photos.app.goo.gl/TtUjK3L1VxSnA3NS7,,
,Pacific Heights,1,Vallejo at Lyon. Along a wall in the SW corner of the intersection.,,https://photos.app.goo.gl/egTB8dcSmyV8uQn68,,
,Parkmerced,2,Juan Bautista Community Garden. West of Juan Bautista Circle.,,https://photos.app.goo.gl/xkmqvaxxTvoFULCEA,,
,Parkmerced,1,Felix Avenue at 19th Ave & Junipero Serra Blvd.,,https://photos.app.goo.gl/zcEVPve1kVGMh9c58,,
,Parkside,4,Stern Grove. Next to Trocadero Clubhouse.,,https://photos.app.goo.gl/bRCyqepqUjtb3u8R8,,
,Parkside,3,"Stern Grove. Multiple stairways between bleachers, near 19th Avenue and Sloat.",,https://photos.app.goo.gl/Xp3AmLkyhQn7d4fB9,,
,Parkside,2,Judah/LaPlaya & Great Highway.,,https://photos.app.goo.gl/Py6mnKKDMT9KiYU88,,
,Parkside,2,"McCoppin Square. 22nd Ave., near Taraval.",,https://photos.app.goo.gl/fBiVNvBNChLv77hn9,,
,Parkside,2,Parkside Square down to playground. 28th Ave. south of Wawona.,,https://photos.app.goo.gl/kashybvWBfk2FmPYA,,
,Parkside,2,Stern Grove Playground.,,https://photos.app.goo.gl/kYNYsVq3QiQqG2vE6,,
,Parkside,2,Stern Grove. At and across from tennis courts.,,https://photos.app.goo.gl/1Z58UtFKRr6iHiCd9,,
,Parnassus Heights,4,Farnsworth/Edgewood & Willard.,,https://photos.app.goo.gl/3TJVtRetfXcBCxt18,,
,Parnassus Heights,4,"Medical Center Way, No. 134, behind the clinics at UCSF, with stairs up to Johnstone Drive and the Historic Trail through Sutro Forest.",,https://photos.app.goo.gl/ATDjDxEjyrZM7rEE7,,
,Parnassus Heights,3,Hill Point Avenue to Carl Street.,,https://photos.app.goo.gl/wKu7SmFLH5DP3wR4A,,
,Parnassus Heights,3,"Kirkham at 4th Ave., up to 1550 5th Ave., behind UC Medical School.",,https://photos.app.goo.gl/fF7J3idGmdjGX2HR7,,
,Parnassus Heights,2,Grattan Playground,,https://photos.app.goo.gl/eAQq6zSYAC3Ue88Q9,,
,Parnassus Heights,1,Belmont Ave./Edgewood & Willard. One stairway on either side of the street.,,https://photos.app.goo.gl/HUX785CSvdtx6Vei9,,
,Portola,3,Dwight/Goettingen & Hamilton.,,https://photos.app.goo.gl/LyVwFPB6Becg5siH7,,
,Portola,3,Goettingen & Dwight.,,https://photos.app.goo.gl/LKYCyv9fxanf2gxS6,,
,Portola,2,Campus Lane/Princeton & Burrows.,,https://photos.app.goo.gl/cJe9jf97yrfEtZ2u8,,
,Portola,2,"Felton/Colby & Dartmouth, to dirt path on south side of street.",,"https://photos.app.goo.gl/n9utS2XuL2LHkURe7
Photo by Brett Lider",,
,Portola,1,"Burrows St. at eastern end, into Burrows Pocket Park.",,https://photos.app.goo.gl/6NGqZMncuFzy2qst5,,
,Potrero Hill,4,"Kansas/22nd & 21st Sts., from No. 980 to No. 965 Kansas.",,https://photos.app.goo.gl/C8QSRVk4toiZ2Ne56,,
,Potrero Hill,4,"McKinley Square Playground. San Bruno at 20th St., into square.",,https://photos.app.goo.gl/6x8v3BYoY6YpLFkr8,,
,Potrero Hill,4,Vermont/20th St. to 22nd St.,,https://photos.app.goo.gl/xepXYfUrmfpjfkpSA,,
,Potrero Hill,3,"22nd St./ Wisconsin & Connecticut, into Potrero Hill Recreation Center.",,https://photos.app.goo.gl/QzCczbU9Z7gXSwHA6,,
,Potrero Hill,3,23rd St./Carolina & Wisconsin. Up to Wisconsin.,,https://photos.app.goo.gl/pQq8aQh1Fr7qkdZp8,,
,Potrero Hill,3,23rd St./Lower Carolina & Upper Carolina.,,https://photos.app.goo.gl/LmpZh4NDSm9iX79L8,,
,Potrero Hill,3,Carolina at Southern Heights.,,https://photos.app.goo.gl/vgJ73jXBtQgWA75G9,,
,Potrero Hill,3,Carolina/19th & 20th Sts.,,https://photos.app.goo.gl/K6w8ycEBbEzhqoUn7 Photo by Betty Yee.,,
,Potrero Hill,3,Lower Carolina & Upper Carolina/22nd & 23rd.,,https://photos.app.goo.gl/UjkauZWmPxpq5Yez9,,
,Potrero Hill,3,"McKinley Square Playground. Vermont at 20th St., into square.",,https://photos.app.goo.gl/YRDNE2UPf2fzaGva7,,
,Potrero Hill,3,Vermont Street. West side at end of curvy section. Large mural.,,https://photos.app.goo.gl/o6i8hJsYQBQ4Wy7K6,,
